t,PR1,T1,R1,PR3,T3,R3,PR2,T2,R2,PR4,T4,R4,P,E2,E1,E3,E4
1480766400,2573.48,13.86,10.309,2383.78,14.06,8.526,2661.47,9.151,21.614,2979.24,11.013,81.714,12.634,7999.21,8172.52,7869.01,8004.08
1480723200,2572.61,13.925,10.242,2383,14.124,8.47,2663.64,9.101,21.779,2984.2,10.897,82.293,12.83,7996.6,8171.3,7867.82,8002.04
1480680000,2572.42,13.988,10.229,2382.68,14.188,8.447,2659.39,9.261,21.454,2980.04,11.033,81.808,12.817,7994.52,8169.62,7867.04,8000.9
1480636800,2571.6,14.047,10.166,2381.84,14.254,8.387,2660.74,9.228,21.557,2979.76,11.078,81.776,12.928,7991.93,8167.88,7865.7,7998.93
1480593600,2571.19,14.11,10.135,2381.25,14.322,8.344,2655.39,9.439,21.149,2980.31,11.06,81.84,12.956,7990.14,8166.58,7864.38,7997.71
1480550400,2569.64,14.188,10.016,2379.72,14.395,8.233,2660.4,9.285,21.531,2983.55,11.022,82.219,13.019,7988.7,8166.09,7863.24,7996.87
1480507200,2568.97,14.259,9.965,2378.86,14.474,8.171,2656.79,9.474,21.255,2982.52,11.098,82.099,12.944,7987.56,8165.53,7863.23,7997.09
1480464000,2567.37,14.342,9.842,2377.28,14.56,8.057,2660.96,9.339,21.573,2987.92,10.861,82.728,13.27,7984.75,8164.36,7862.43,7994.93
1480420800,2566.49,14.423,9.775,2376.14,14.65,7.975,2659.9,9.422,21.492,2970.33,11.372,80.677,13.201,7982.86,8161.94,7861.5,7993.96
1480377600,2564.83,14.507,9.647,2374.37,14.749,7.846,2661.92,9.385,21.645,2971.52,11.387,80.817,13.32,7980.2,8160.39,7860.39,7992.35
1480334400,2563.24,14.627,9.525,2372.67,14.857,7.723,2662.29,9.394,21.674,2973.31,11.37,81.026,13.44,7977.53,8159.23,7859.94,7991.33
1480291200,2561.32,14.741,9.378,2370.7,14.974,7.581,2666.1,9.29,21.964,2974.47,11.37,81.162,13.587,7973.28,8157.08,7858.17,7989.06
1480248000,2559.67,14.878,9.252,2369,15.099,7.458,2664.61,9.424,21.85,2976.58,11.355,81.408,13.644,7970.26,8156.29,7857.55,7988.52
1480204800,2557.34,15.013,9.073,2366.86,15.226,7.303,2668.77,9.307,22.167,2981.33,11.257,81.963,13.781,7966.83,8156.03,7857.18,7988.05
1480161600,2556.07,15.154,8.977,2365.68,15.36,7.218,2666.18,9.501,21.968,2979.63,11.216,81.763,13.869,7963.12,8155.1,7857.43,7988.02
1480118400,2554.29,15.3,8.841,2364.21,15.493,7.112,2666.97,9.551,22.028,2976.9,11.295,81.445,14.131,7957.5,8153.17,7856.22,7986.15
1480075200,2553.74,15.439,8.801,2363.86,15.615,7.088,2664.65,9.743,21.849,2946.23,12.077,77.868,14.042,7953.36,8151.46,7855.87,7986.42
1480032000,2553.52,15.564,8.786,2363.95,15.727,7.096,2659.09,10.084,21.423,2942.63,12.211,77.449,14.184,7948.96,8150.31,7855.55,7985.67
1479988800,2554.16,15.679,8.838,2364.76,15.828,7.156,2647.99,10.61,20.575,2927.52,12.521,75.686,14.25,7944.88,8148.51,7855.52,7985
1479945600,2554.42,15.777,8.861,2365.2,15.915,7.189,2643.09,10.883,20.199,2917.2,12.688,74.481,14.332,7940.79,8146.57,7855.15,7983.89
1479902400,2555.15,15.863,8.919,2366.14,15.991,7.258,2632.22,11.393,19.368,2914.73,12.769,74.193,14.45,7936.93,8145.03,7854.79,7982.64
1479859200,2555.02,15.936,8.91,2366.41,16.055,7.278,2628.15,11.633,19.056,2917.17,12.768,74.479,14.742,7932.56,8143.74,7854.2,7980.58
1479816000,2555.88,15.993,8.979,2367.5,16.106,7.358,2621.27,12,18.53,2909.13,12.739,73.537,15.072,7928.94,8142.14,7852.88,7978.37
1479772800,2558.3,16.029,9.168,2369.51,16.142,7.506,2611.26,12.426,17.765,2868.19,13.397,68.757,14.894,7927.81,8139.36,7851.68,7978.55
1479729600,2559.21,16.059,9.24,2370.28,16.177,7.562,2602.66,12.763,17.108,2858.01,13.633,67.57,14.884,7928.02,8139.13,7850.98,7978.91
1479686400,2559.24,16.09,9.243,2370.15,16.213,7.553,2600.18,12.889,16.918,2852.68,13.715,66.947,14.866,7928.96,8139.75,7851.97,7980.38
1479643200,2558.63,16.125,9.196,2369.55,16.251,7.51,2601.23,12.847,16.998,2850.85,13.799,66.735,14.964,7928.05,8139.27,7851.85,7979.89
1479600000,2558.1,16.158,9.155,2369.03,16.288,7.472,2603.85,12.771,17.198,2850.57,13.839,66.702,15.14,7925.85,8137.98,7850.39,7978.15
1479556800,2558.06,16.191,9.153,2368.88,16.326,7.461,2599.77,12.94,16.887,2849.79,13.841,66.611,15.232,7925.31,8137.65,7849.62,7977.5
1479513600,2557.33,16.225,9.096,2368.15,16.365,7.409,2601.98,12.879,17.055,2850.11,13.856,66.649,15.302,7925.46,8138.24,7849.48,7977.91
